606100	EAU & ELECTRICITE	 244 398 751,61 	 155 322,80 	 244 243 428,81 	
606200	GAZ -LUBRIFIANT -CARBURANT	 1 254 920 663,27 	 150 006 103,98 	 1 104 914 559,29 	
606300	PETIT OUTILLAGE	 19 214 320,28 		 19 214 320,28 	
606400	FOURNITURES ADMINISTRATIFS	 279 294 169,11 	 16 000,00 	 279 278 169,11 	
606500	FOURNITURES INFORMATIQUE	 55 868 799,95 		 55 868 799,95 	
606900	ACHATS PRODUITS D'ENTRETIEN	 75 000,00 		 75 000,00 	
606	ACHATS DIRECTEMENTS CONSOMMES	 1 853 771 704,22 	 150 177 426,78 	 1 703 594 277,44 	
60	A C H A T S	 1 853 771 704,22 	 150 177 426,78 	 1 703 594 277,44 	
611000	SOUS TRAITANCE	 22 589 375,61 		 22 589 375,61 	
613200	LOCATIONS IMMOBILIERES	 199 086 650,00 		 199 086 650,00 	
613500	LOCATIONS MOBILIERES	 63 009 333,10 		 63 009 333,10 	
613550	LOCATION DE VOITURE	 2 275 000,00 		 2 275 000,00 	
615100	ENTR REPø BIENS IMMOB.	 437 667 105,26 		 437 667 105,26 	
615500	ENTR REPø BIENS MOB.	 65 242 094,87 		 65 242 094,87 	
615600	MAINTENANCES MAT ROULANTS	 684 033 044,95 	 150 675 747,01 	 533 357 297,94 	
616200	ASSURANCE VOL	 2 060 800,00 		 2 060 800,00 	
616400	ASSURANCE RESPONSABILITE CIVILE	 4 372 074,38 		 4 372 074,38 	
616500	ASSURANCE MULTIRISQUES	 2 728 385,40 		 2 728 385,40 	
618100	DOCUMENTATIONS GENERALES	 7 461 600,00 		 7 461 600,00 	
61	SERVICES EXTERIEURS	 1 490 525 463,57 	 150 675 747,01 	 1 339 849 716,56 	
621100	PERSONNEL EXTERIEUR A L'ENTREPRISE	 350 865 856,33 		 350 865 856,33 	
622600	HONORAIRES 	 2 966 000,00 		 2 966 000,00 	
622700	FRAIS D'ACTES & CONTETIEUX	 27 286 100,00 		 27 286 100,00 	
623400	CADEAUX A LA CLIENTELE	 6 606 000,00 		 6 606 000,00 	
623700	PUBLICATIONS	 80 269 546,50 		 80 269 546,50 	
624400	DEPLACEMENT ADMINISTRATIFS	 2 415 962,56 		 2 415 962,56 	
625100	VOYAGES & DEPLACEMENTS	 173 739 999,20 	 200 000,00 	 173 539 999,20 	
625200	MISSIONS	 9 943 040,00 		 9 943 040,00 	
625300	RECEPTIONS 	 154 174 305,00 	 276 000,00 	 153 898 305,00 	
626100	AFFRANCHISSEMENTS	 233 500,00 		 233 500,00 	
626200	REDEVANCE TELEPHONIQUE	 119 883 529,18 		 119 883 529,18 	
626300	REDEVANCE FAX & TELEX	 73 899 034,60 		 73 899 034,60 	
627300	FRAIS SUR EFFETS	 236 335 400,00 	 64 277,78 	 236 271 122,22 	
627400	COMMISSIONS BANCAIRES	 1 234 071 058,85 	 453 465 600,00 	 780 605 458,85 	
627800	AUTRES FRAIS BANCAIRES	 5 214 333,34 		 5 214 333,34 	
628100	COTISATIONS DIVERSES (APACM-GPAD)	 2 890 737,50 		 2 890 737,50 	
628200	COTISATION CFE-IRCAFEX-APSF-GCOSF	 431 060 907,94 	 9 535 871,96 	 421 525 035,98 	
62	AUTRES SERVICES EXTERIEURS	 2 911 855 311,00 	 463 541 749,74 	 2 448 313 561,26 	
631300	IFPB	 61 560,00 		 61 560,00 	
633200	VIGNETTES AUTOMOBILES	 2 000,00 		 2 000,00 	
633800	DROITS DE STATIONNEMENT	 1 506 000,00 		 1 506 000,00 	
634200	DROITS DE DOUANES	 200 000,00 		 200 000,00 	
636800	AUTRES TAXES & IMPOTS DIVERS	 30 698 373,00 		 30 698 373,00 	
63	IMPOTS & TAXES	 32 467 933,00 		 32 467 933,00 	
641100	SALAIRES & APPOINTEMENTS	 2 084 052 350,00 		 2 084 052 350,00 	
641200	CONGES PAYES	 100 209 871,64 		 100 209 871,64 	
641400	INDEMNITES ET AVANTAGES DIVERSES	 459 966 334,17 		 459 966 334,17 	
641700	H/S SALAIRE & APPOINTEMENTS	 446 390 649,31 		 446 390 649,31 	
645100	CHARGES SOCIALES CNaPS	 515 283 223,59 	 181 516 357,02 	 333 766 866,57 	
645110	CHARGES SOCIALES FMPF	 39 637 171,06 	 13 962 796,70 	 25 674 374,36 	
645300	CHARGES SOCIALES OMSI	 179 859 630,61 	 63 759 489,60 	 116 100 141,01 	
645400	FRAIS SCOLAIRES	 48 378 250,00 		 48 378 250,00 	
645800	FRAIS MEDICAUX ET PHARMACEUTIQUES	 164 454 120,33 	 25 200,00 	 164 428 920,33 	
647100	OEUVRES SOCIALES	 16 000,00 		 16 000,00 	
647300	HABILLEMENTS DU PERSONNEL	 5 127 610,00 		 5 127 610,00 	
648100	AUTRES CHARGES DU PERSONNEL	 596 000,00 		 596 000,00 	
64	PERSONNELS	 4 043 971 210,71 	 259 263 843,32 	 3 784 707 367,39 	
653100	JETONS DE PRESENCE	 32 000,00 		 32 000,00 	
657110	CHARGES EXCEPTIONNELLES DE GESTION	 1 721 355 460,63 		 1 721 355 460,63 	
65	AUTRES CHARGES D'EXPLOITATIONS	 1 721 387 460,63 		 1 721 387 460,63 	
661100	INTERETS DES EMPRUNTS	 23 480 323,44 		 23 480 323,44 	
661200	INTERETS DES CPTES COURANT BANCAIRE	 15 850 677,56 		 15 850 677,56 	
662100	INTERETS BANCAIRES ESC … CT	 9 622 226 272,62 	 8 591 384 945,08 	 1 030 841 327,54 	
662200	INTERETS DES COMPTES COURANTS	 2 164 396 517,16 	 163 408 728,74 	 2 000 987 788,42 	
663000	INTERETS DE DEPOTS CREDIT	 356 424 981,67 	 15 985 841,81 	 340 439 139,86 	
666100	DIFF. DE CHARGES -PERTES	 240 428,90 		 240 428,90 	
66	CHARGES FINANCIERES	 12 182 619 201,35 	 8 770 779 515,63 	 3 411 839 685,72 	
671800	AUTRES CHARGES EXCEPTIONNELLES	 1 453 118,21 		 1 453 118,21 	
67	CHARGES EXCEPTIONNELLES	 1 453 118,21 		 1 453 118,21 	
681100	DOTATø AMORT. IMMOBILø INCORPORELLE	 11 536 458,40 	 5 302 083,40 	 6 234 375,00 	
681200	DOTATø AMORT. IMMOBILø CORPORELLES	 579 629 272,82 	 261 101 140,88 	 318 528 131,94 	
68	DOTATIONS AUX AMORTISSEMENT & PROV.	 591 165 731,22 	 266 403 224,28 	 324 762 506,94 	
706000	PRESTATIONS DE SERVICES		 362 745 254,96 		 362 745 254,96 
708100	COMMISION /NAVIRES REPRESENTES		 2 083 825 433,32 		 2 083 825 433,32 
708300	LOCATION MATERIEL DE LEVAGE		 5 724 000,00 		 5 724 000,00 
